f_power,dz,pos_jitter,c550,omega,eta,blue__misfit,blue__level,blue__pattern,green__misfit,green__level,green__pattern,red__misfit,red__level,red__pattern,par__misfit,par__level,par__pattern
1.1,-1.0,0.6666666666666667,1.2,0.95,2.0,0.8832787429441806,0.8272390909648224,0.6387470950944218,1.3550479421361243,1.3550157662390443,0.5743163971203906,2.780012227535694,2.427994894729369,0.9322737382936789,1.127723695533982,1.1276188643265128,0.5740789828139518
0.7,-1.0,0.6666666666666667,1.2,0.95,2.0,0.7302485517297564,0.6309444458208542,0.6387470950944218,1.1587587476273011,1.158721121095076,0.5743163971203907,2.583787513922368,2.2317002495854013,0.9322737382936782,0.9314511428517244,0.9313242191825448,0.5740789828139519
0.7,-1.0,2.0,1.2,0.95,2.0,0.6889324831127825,0.522226635580974,0.8163183748069981,1.0017698781464819,0.9005492854084631,0.658214135601812,2.5498564284160823,2.152625569276152,0.8320865141857912,0.9155337131018253,0.9135735369425897,0.68777184875295
0.7,-1.0,2.0,0.5,0.95,2.0,1.6782575301546823,1.677511431706701,0.5483729235453062,1.5600867099406632,1.5600865836145594,0.6543122002618336,2.5714910213088946,2.444268032395706,0.7746451891766847,1.6661487703965552,1.6645141740572966,0.5688505170146313
0.7,0.6666666666666665,2.0,0.5,0.95,2.0,1.7497411803186467,1.7497139888211288,0.5235050303521029,1.6739581658919902,1.673867003012628,0.5524350780045247,2.5826672982934205,2.582658561396617,0.48131969735451463,1.7277935086690863,1.7277901240928921,0.5518396096563549
0.7,0.6666666666666665,2.0,0.5,0.95,-0.33333333333333326,1.8525095968080099,1.8524173516778468,0.6388841702640673,1.706428562233921,1.70642779191617,0.6481186118910602,2.5996890614989296,2.5989643252820174,0.48887174428044416,1.8432283940709864,1.8432040459994767,0.6419438188551021
1.1,-0.16666666666666652,0.0,0.15,0.55,2.0,1.7646953571615756,1.764680542714005,0.4384633605108763,1.7581775074167776,1.758140471667451,0.3955436094975238,2.9442601825736188,2.9176075074884587,0.5897932857684005,1.7833849608817292,1.7833847662959346,0.43060773272078307
1.1,-0.16666666666666652,0.0,0.85,0.55,2.0,0.7865680484183597,-0.7862872579835145,0.8312632118647776,0.464950476438771,0.07207315654570097,0.6045329846185279,2.0135715809133794,1.0199662876551499,1.965606230660753,0.3734189032779415,-0.24935453483792142,0.7871276864342446
0.7,-0.16666666666666652,0.0,0.85,0.55,2.0,0.6834958290821977,-0.6827116044427028,0.8804634972900554,0.5034657582795214,-0.22494896395917435,0.6938469770035237,1.283651653663726,0.8483492340096962,1.1403181010083696,0.4417564004247719,-0.36559966696936863,0.6133397256111953
0.7,1.5,0.0,0.85,0.55,2.0,0.45381398663287387,-0.1335898339806808,0.593015292237358,0.2965251500183894,0.08580688163187156,0.3333240455971874,1.7180735579682482,1.3360360510685898,1.0999175151088905,0.2262649276049479,-0.015215932546213229,0.3364111449836728
